CustomerID,Age,Total_Spent,Avg_Transaction,Transaction_Count,Spending_Volatility,Product_Categories,Days_Since_Last_Transaction,Customer_Tenure_Days,Transaction_Frequency,Service_Interactions,Resolution_Rate,Days_Since_Last_Service,LoginFrequency,Days_Since_Last_Login,Days_Since_Last_Transaction_log,Transaction_Frequency_log,Gender_encoded,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,IncomeLevel_encoded,ServiceUsage_Mobile App,ServiceUsage_Online Banking,ServiceUsage_Website,ChurnStatus
1,0.8627450980392156,-1.1521961328580568,0.8347872493277776,0.0,0.0,0.0,279,-1.8935623923685259,30.0,0.5,1.0,-0.23923624017634346,0.6874999999999999,-1.0215572119148126,1.5468413330135335,2.648903447294453,1,False,False,True,False,1,True,False,False,0
2,0.9215686274509803,0.37975781261357205,0.43362959009831886,0.75,0.3587089826807454,0.75,42,0.9635187783932319,0.6666666666666667,0.5,1.0,-0.18948937246400205,0.08333333333333333,-1.450762893593227,-0.04676709543622891,-0.4198763991615593,1,False,True,False,False,1,False,False,True,1
3,0.0,0.5904807247183774,0.5624704940577597,0.625,0.39927013849421195,0.75,84,0.28109493187370377,0.75,0.5,1.0,-0.7580250034621893,0.04166666666666667,-1.2600048128472652,0.53285095259923,-0.36865573674727103,1,False,False,True,False,1,False,False,True,0
4,0.05882352941176472,-0.47382169757285814,0.3564523081344034,0.5,0.39358679070323954,0.75,4,0.09911523946849626,0.6818181818181819,1.0,0.5,-1.0636129051237149,0.020833333333333332,-0.4778966817888211,-1.8769793196486622,-0.41037574307725433,1,False,False,False,True,1,False,False,True,0
5,0.05882352941176472,0.9948449346207011,0.49342145774749063,0.875,0.388202566480213,0.5,10,0.8634299475703677,0.7894736842105263,0.0,0.0,1.3597702220060581,0.8333333333333333,-1.0787846361386013,-1.206345595799879,-0.3452388105084646,1,True,False,False,False,2,False,False,True,0
6,0.7647058823529412,-0.139233376089913,0.4578501200763562,0.5,0.5142831503694176,0.75,63,-0.8198822071778016,1.2605042016806725,0.5,1.0,-0.3636034094571969,0.020833333333333332,-0.6972684746466774,0.29148786028381374,-0.09993230302348914,0,True,False,False,False,2,False,False,True,0
7,0.17647058823529416,-1.5989054072525135,0.15790553993308565,0.0,0.0,0.0,68,-1.8935623923685259,30.0,0.0,0.0,1.3597702220060581,0.6458333333333333,1.7158212467897414,0.3554702208288438,2.648903447294453,0,False,True,False,False,3,True,False,False,0
8,0.37254901960784315,1.056330618475401,0.5800816929739937,0.75,0.3033711226107505,0.75,52,0.32658985497500564,0.8571428571428571,1.0,0.0,-0.8290919573369627,0.3333333333333333,0.7143413228734411,0.13107893413135455,-0.3062721188347055,1,False,False,True,False,1,False,True,False,1
9,0.4117647058823529,0.06795400759760309,0.5206387651634885,0.5,0.5525709670664951,0.5,73,0.6450543166841187,0.5357142857142857,0.5,1.0,-0.7260448742185412,0.4791666666666667,0.08483965641176668,0.4149745024186322,-0.5057828069666596,1,True,False,False,False,3,False,False,True,0
10,0.9803921568627451,0.17648524774826516,0.3896221186805968,0.75,0.47375190691274566,0.75,61,0.699648224405681,0.7342657342657343,0.0,0.0,1.3597702220060581,0.5833333333333333,1.658593822565953,0.2644835492729794,-0.3781373245217358,1,False,True,False,False,3,False,True,False,1
11,0.7058823529411765,0.6322703996890204,0.6916603378558672,0.5,0.34494929855523315,0.25,17,0.7269451782664621,0.5190311418685122,1.0,0.5,-0.9889926035552029,0.6041666666666666,1.5727526862302699,-0.7874626533456333,-0.5172498144476775,1,True,False,False,False,2,False,True,False,0
12,0.4509803921568628,-1.598404202074584,0.15866499722900715,0.0,0.0,0.0,59,-1.8935623923685259,30.0,1.0,0.5,-1.1026997297548402,0.8749999999999999,-1.6987483985629777,0.23659369486922951,2.648903447294453,0,False,True,False,False,1,False,False,True,0
13,0.11764705882352944,-1.1853569511167714,0.24809622529198047,0.25,0.19858813675929526,0.5,95,-1.293029407431341,1.3432835820895521,0.5,1.0,-0.6585312680375065,0.18749999999999997,0.008536424113381895,0.6363620272466289,-0.06217538020944804,0,True,False,False,False,1,True,False,False,0
14,0.47058823529411764,2.1355608274174145,0.6283995976928919,1.0,0.4174269390685293,0.75,53,0.7906380706082847,0.9121621621621622,1.0,0.5,-0.6656379634249838,0.5208333333333333,1.6872075346778472,0.14697779613554102,-0.27562232403612275,1,False,False,False,True,2,False,True,False,0
